,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7083333333333333,0.39682539682539686,0.33333333333333337,0.6086956521739131
1,1,0.6931818181818181,0.2963636363636364,0.5789473684210527,0.5319148936170213
2,2,0.7264957264957266,0.42105263157894735,0.40909090909090906,0.5588235294117647
3,3,0.46153846153846156,0.680672268907563,0.6060606060606061,0.7083333333333333
4,4,0.4518518518518519,0.27976190476190477,0.4545454545454546,0.8235294117647058
5,5,0.6777777777777778,0.5194805194805195,0.7142857142857143,0.65625
6,6,0.703030303030303,0.7142857142857143,0.6756756756756757,0.7
7,7,0.30000000000000004,0.8571428571428572,0.3571428571428571,0.8095238095238095
8,8,0.5079365079365079,0.44047619047619047,0.5625,0.6363636363636364
9,9,0.5428571428571429,0.5441176470588236,0.48275862068965514,0.7727272727272727
