,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.75,0.2777777777777778,0.33333333333333337,0.6086956521739131
1,1,0.6818181818181818,0.26181818181818184,0.631578947368421,0.46808510638297873
2,2,0.7350427350427351,0.3894736842105263,0.40909090909090906,0.5588235294117647
3,3,0.8153846153846154,0.5630252100840336,0.6060606060606061,0.7083333333333333
4,4,0.42222222222222217,0.369047619047619,0.4545454545454546,0.8235294117647058
5,5,0.6888888888888889,0.5930735930735931,0.7142857142857143,0.65625
6,6,0.7363636363636363,0.8021978021978022,0.7297297297297297,0.75
7,7,0.38125,0.7040816326530612,0.3928571428571429,0.6666666666666667
8,8,0.5396825396825397,0.3333333333333333,0.5625,0.6363636363636364
9,9,0.5571428571428572,0.5470588235294118,0.4137931034482759,0.6590909090909092
