,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.7,0.35185185185185186,0.2941176470588235,0.5714285714285714
1,1,0.5555555555555556,1.0,0.4375,0.8947368421052632
2,2,0.6111111111111112,0.6,0.5882352941176471,0.8
3,3,0.4857142857142857,0.17857142857142858,0.41666666666666663,0.5333333333333333
4,4,0.7794117647058824,0.33333333333333337,0.8095238095238095,0.5909090909090908
5,5,0.4,0.9545454545454545,0.2222222222222222,0.9230769230769231
6,6,0.54,0.9615384615384616,0.5333333333333333,0.8666666666666667
7,7,0.2,1.0,0.31999999999999995,0.9411764705882353
8,8,0.5444444444444445,0.8888888888888888,0.4736842105263158,0.75
9,9,0.8181818181818181,0.9636363636363636,0.75,0.8125
